feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
Polymyositis with respiratory involvement,16.67,10.087,27.548,0.0,0.0
Postprocedural hemorrhage of an endocrine system organ or structure following other procedure,15.713,6.819,36.212,0.0,0.0
Cardiogenic shock,15.47,12.312,19.438,0.0,0.0
"Shock, unspecified",13.654,9.425,19.781,0.0,0.0
Tachypnea,13.556,8.442,21.768,0.0,0.0
Malignant neoplasm of overlapping sites of esophagus,13.471,7.993,22.704,0.0,0.0
"Abdominal aortic aneurysm, ruptured",13.47,6.681,27.16,0.0,0.0
"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites",13.428,7.038,25.621,0.0,0.0
"Dissection of aorta, thoracic",12.745,8.652,18.775,0.0,0.0
"Paralytic syndrome, unspecified",12.575,4.939,32.021,0.0,0.0
Brain conditions nec,12.574,6.565,24.081,0.0,0.0
"Respiratory failure, unspecified with hypercapnia",12.56,11.196,14.091,0.0,0.0
Traumatic shock,12.492,6.008,25.974,0.0,0.0
Other histiocytosis syndromes,12.48,5.74,27.133,0.0,0.0
Respiratory arrest,12.166,3.942,37.55,0.0,0.0
Ventricular septal defect as current complication following acute myocardial infarction,11.916,3.565,39.824,0.0,0.0
"Central cord syndrome at C6 level of cervical spinal cord, initial encounter",11.907,3.084,45.974,0.0,0.0
Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,11.788,9.065,15.327,0.0,0.0
"Other secondary kyphosis, cervicothoracic region",11.546,4.709,28.309,0.0,0.0
Other antiprotozoal drugs causing adverse effects in therapeutic use,11.529,4.381,30.339,0.0,0.0
Ulcer of esophagus with bleeding,11.417,6.077,21.449,0.0,0.0
"Muscle wasting and atrophy, not elsewhere classified, right shoulder",11.342,4.307,29.87,0.0,0.0
Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot,11.287,7.445,17.111,0.0,0.0
Disseminated intravascular coagulation [defibrination syndrome],10.887,6.923,17.121,0.0,0.0
Do not resuscitate,10.772,9.996,11.609,0.0,0.0
"Unspecified drug dependence, unspecified",10.582,3.294,33.992,0.0,0.0
"Acute promyelocytic leukemia, not having achieved remission",10.375,7.817,13.769,0.0,0.0
"Extradural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",10.253,3.023,34.776,0.0,0.0
Left heart failure,10.19,4.702,22.083,0.0,0.0
"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness",10.021,4.178,24.036,0.0,0.0
"Anoxic brain damage, not elsewhere classified",9.978,6.351,15.677,0.0,0.0
Acute on chronic graft-versus-host disease,9.878,2.923,33.374,0.0,0.0
"Bronchopneumonia, unspecified organism",9.864,3.709,26.235,0.0,0.0
ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,9.766,3.176,30.025,0.0,0.0
"Generalized convulsive epilepsy, with intractable epilepsy",9.61,4.389,21.039,0.0,0.0
Other disorders resulting from impaired renal tubular function,9.602,5.197,17.74,0.0,0.0
Narcolepsy without cataplexy,9.329,4.335,20.073,0.0,0.0
Other suppurative peritonitis,9.319,5.056,17.178,0.0,0.0
"Postoperative shock, not elsewhere classified",9.249,4.65,18.397,0.0,0.0
"Septicemia due to gram-negative organism, unspecified",9.117,4.5,18.47,0.0,0.0
"Lesion of lateral popliteal nerve, unspecified lower limb",9.103,3.161,26.212,0.0,0.0
Malignant neoplasm of lower third of esophagus,8.803,4.131,18.759,0.0,0.0
Rupture of artery,8.728,2.626,29.014,0.0,0.0
Acute and chronic postprocedural respiratory failure,8.681,6.568,11.474,0.0,0.0
"Synovial cyst of popliteal space [Baker], unspecified knee",8.629,4.773,15.601,0.0,0.0
Acute pulmonary manifestations due to radiation,8.581,3.055,24.101,0.0,0.0
Acute pulmonary insufficiency following thoracic surgery,8.546,5.121,14.26,0.0,0.0
Acute respiratory distress syndrome,8.506,6.079,11.903,0.0,0.0
Acquired absence of eye,8.48,2.904,24.758,0.0,0.0
Senile dementia with delirium,8.477,4.13,17.396,0.0,0.0
Unspecified kidney failure,8.454,4.077,17.53,0.0,0.0
"Nondisplaced midcervical fracture of right femur, initial encounter for closed fracture",8.446,3.848,18.539,0.0,0.0
"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",8.403,5.085,13.885,0.0,0.0
"Quadriplegia, unspecified",8.262,4.978,13.714,0.0,0.0
"Fracture of vault of skull, initial encounter for closed fracture",8.103,2.83,23.201,0.0,0.0
Waldenstrom macroglobulinemia,7.928,4.595,13.68,0.0,0.0
"Other fracture of shaft of left tibia, initial encounter for open fracture type I or II",7.886,2.5,24.873,0.0,0.0
Malignant neoplasm of overlapping sites of unspecified bronchus and lung,7.826,6.094,10.05,0.0,0.0
Hypovolemic shock,7.711,6.003,9.905,0.0,0.0
"Malignant neoplasm of uterus, part unspecified",7.602,3.098,18.653,0.0,0.0
Other specified disorders of the teeth and supporting structures,7.479,3.828,14.612,0.0,0.0
"Gastric contents in respiratory tract, part unspecified causing other injury, initial encounter",7.387,4.569,11.942,0.0,0.0
Colostomy malfunction,7.384,3.729,14.619,0.0,0.0
Flaccid hemiplegia and hemiparesis affecting unspecified side,7.382,3.089,17.641,0.0,0.0
Cardiotonic glycosides and drugs of similar action causing adverse effects in therapeutic use,7.358,3.724,14.539,0.0,0.0
Scabies,7.325,2.545,21.082,0.0,0.0
Ventricular septal defect,7.266,2.975,17.746,0.0,0.0
Infected postoperative seroma,7.226,3.303,15.809,0.0,0.0
Assault by other and unspecified firearm,7.173,2.407,21.375,0.0,0.0
Nutritional and metabolic cardiomyopathy,7.118,3.193,15.868,0.0,0.0
"Other displaced fracture of third cervical vertebra, initial encounter for closed fracture",7.027,3.24,15.241,0.0,0.0
"Primary disorder of muscle, unspecified",6.648,2.306,19.168,0.0,0.0
Tabes dorsalis,6.638,2.667,16.524,0.0,0.0
Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,6.611,2.917,14.983,0.0,0.0
"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",6.576,4.314,10.023,0.0,0.0
Lichen planopilaris,6.551,2.585,16.6,0.0,0.0
Systemic inflammatory response syndrome (SIRS) of non-infectious origin with acute organ dysfunction,6.531,2.488,17.143,0.0,0.0
"Other displaced fracture of upper end of right humerus, subsequent encounter for fracture with delayed healing",6.455,3.327,12.523,0.0,0.0
Acute kidney failure with other specified pathological lesion in kidney,6.386,3.213,12.695,0.0,0.0
Other specified disorders of esophagus,6.305,3.131,12.698,0.0,0.0
"Reticulosarcoma, unspecified site, extranodal and solid organ sites",6.29,4.093,9.665,0.0,0.0
"Fall from or off toilet without subsequent striking against object, subsequent encounter",6.091,3.418,10.855,0.0,0.0
Vascular complications of other vessels,6.015,2.566,14.099,0.0,0.0
"Contusion of eyeball and orbital tissues, unspecified eye, initial encounter",5.962,3.285,10.821,0.0,0.0
Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,5.893,3.768,9.217,0.0,0.0
Overflow incontinence,5.782,2.492,13.419,0.0,0.0
Cerebral infarction due to embolism of unspecified vertebral artery,5.761,2.573,12.902,0.0,0.0
Diffuse acute (reversible) ischemia of large intestine,5.74,4.202,7.841,0.0,0.0
Other disorders of brain in diseases classified elsewhere,5.716,2.398,13.629,0.0,0.0
Diabetes insipidus,5.618,2.862,11.028,0.0,0.0
Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,5.616,3.496,9.022,0.0,0.0
Embolism and thrombosis of arteries of the upper extremities,5.56,3.106,9.951,0.0,0.0
Unspecified acute lower respiratory infection,5.456,2.487,11.969,0.0,0.0
Estrogen receptor negative status [ER-],5.393,2.417,12.032,0.0,0.0
Acute respiratory failure following trauma and surgery,5.31,4.637,6.08,0.0,0.0
Accidental puncture and laceration of other nervous system organ or structure during a nervous system procedure,5.242,3.754,7.318,0.0,0.0
Drug or chemical induced diabetes mellitus with ketoacidosis without coma,5.22,2.234,12.2,0.0,0.0
Anemia due to other disorders of glutathione metabolism,5.218,2.819,9.658,0.0,0.0
Postprocedural cardiac insufficiency following cardiac surgery,5.215,3.237,8.399,0.0,0.0
Peritonitis (acute) generalized,5.167,2.405,11.101,0.0,0.0
Pyothorax with fistula,5.137,2.235,11.806,0.0,0.0
Acute embolism and thrombosis of unspecified subclavian vein,5.103,2.872,9.067,0.0,0.0
Congenital malformation syndromes involving early overgrowth,5.08,2.176,11.857,0.0,0.0
Perforation of intestine (nontraumatic),5.069,3.244,7.921,0.0,0.0
Chronic hepatic failure without coma,4.984,3.884,6.396,0.0,0.0
Attention to other artificial opening of urinary tract,4.927,2.151,11.285,0.0,0.0
Other specified noninflammatory disorders of vagina,4.913,2.837,8.509,0.0,0.0
"Acquired hemolytic anemia, unspecified",4.867,2.991,7.918,0.0,0.0
Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,4.856,3.251,7.252,0.0,0.0
Secondary esophageal varices with bleeding,4.736,3.205,6.998,0.0,0.0
Other transfusion reaction,4.688,2.179,10.085,0.0,0.0
"Fracture of tooth (traumatic), subsequent encounter for fracture with routine healing",4.664,2.944,7.386,0.0,0.0
"Other intervertebral disc disorders, lumbar region",4.635,2.639,8.138,0.0,0.0
Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery,4.605,3.838,5.526,0.0,0.0
Sepsis,4.581,3.659,5.736,0.0,0.0
"Stomatitis and mucositis, unspecified",4.554,3.039,6.824,0.0,0.0
Unspecified staphylococcus as the cause of diseases classified elsewhere,4.552,2.521,8.218,0.0,0.0
"Fall (on)(from) incline, initial encounter",4.549,3.661,5.653,0.0,0.0
Tumor lysis syndrome,4.518,2.547,8.015,0.0,0.0
Hematemesis,4.507,3.402,5.972,0.0,0.0
"Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",4.505,2.303,8.813,0.0,0.0
Primary pulmonary hypertension,4.489,3.191,6.314,0.0,0.0
Pulmonary insufficiency following trauma and surgery,4.489,3.252,6.196,0.0,0.0
Mitral valve insufficiency and aortic valve insufficiency,4.46,3.15,6.313,0.0,0.0
Acute lymphoblastic leukemia not having achieved remission,4.444,2.682,7.363,0.0,0.0
"Reticulosarcoma, lymph nodes of multiple sites",4.365,2.336,8.156,0.0,0.0
"Viral infection, unspecified",4.312,2.566,7.245,0.0,0.0
Non-pressure chronic ulcer of skin of other sites limited to breakdown of skin,4.248,2.021,8.925,0.0,0.0
Closed fracture of orbital floor (blow-out),4.238,2.593,6.929,0.0,0.0
Sepsis due to Methicillin resistant Staphylococcus aureus,4.237,2.651,6.775,0.0,0.0
Other generalized ischemic cerebrovascular disease,4.224,1.904,9.369,0.0,0.0
Coronary vasodilators causing adverse effects in therapeutic use,4.202,2.006,8.799,0.0,0.0
Thoracic aortic ectasia,4.187,1.98,8.856,0.0,0.0
Hypothermia not associated with low environmental temperature,4.154,2.562,6.734,0.0,0.0
Malfunction of tracheostomy stoma,4.135,2.091,8.174,0.0,0.0
"Infection and inflammatory reaction due to indwelling urinary catheter, subsequent encounter",4.12,2.627,6.461,0.0,0.0
Other thalassemia,4.109,2.238,7.545,0.0,0.0
"Vascular disorder of intestine, unspecified",4.032,2.804,5.798,0.0,0.0
Dementia with lewy bodies,3.991,2.675,5.954,0.0,0.0
Heparin induced thrombocytopenia (HIT),3.943,2.43,6.401,0.0,0.0
Chronic vascular disorders of intestine,3.904,2.663,5.722,0.0,0.0
Closed fracture of four ribs,3.845,2.152,6.87,0.0,0.0
Accidental fall on or from sidewalk curb,3.832,1.834,8.005,0.0,0.0
Nontraumatic acute subdural hemorrhage,3.805,2.923,4.953,0.0,0.0
Unspecified accident,3.791,2.814,5.106,0.0,0.0
"Postsurgical malabsorption, not elsewhere classified",3.789,2.376,6.04,0.0,0.0
"Procedure and treatment not carried out, unspecified reason",3.758,2.321,6.084,0.0,0.0
Angiodysplasia of intestine with hemorrhage,3.746,2.192,6.402,0.0,0.0
Traumatic hemothorax without mention of open wound into thorax,3.732,1.88,7.409,0.0,0.0
Acquired absence of left finger(s),3.634,1.977,6.679,0.0,0.0
"Multiple myeloma, in relapse",3.63,1.893,6.963,0.0,0.0
"Hemorrhage, not elsewhere classified",3.624,2.03,6.469,0.0,0.0
Idiopathic hypotension,3.592,2.387,5.406,0.0,0.0
Type 1 diabetes mellitus with diabetic chronic kidney disease,3.574,2.324,5.495,0.0,0.0
Personal history of malignant neoplasm of brain,3.569,1.982,6.427,0.0,0.0
"Unspecified osteomyelitis, ankle and foot",3.508,2.206,5.579,0.0,0.0
Aneurysm of artery of lower extremity,3.489,2.326,5.233,0.0,0.0
"Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites",3.451,2.81,4.239,0.0,0.0
"Pressure ulcer, unspecified stage",3.437,2.228,5.302,0.0,0.0
Personal history of alcoholism,3.434,2.122,5.557,0.0,0.0
Unspecified peritonitis,3.428,2.112,5.564,0.0,0.0
"Traumatic subarachnoid hemorrhage with loss of consciousness of 30 minutes or less, initial encounter",3.393,1.751,6.573,0.0,0.0
"Post-traumatic hydrocephalus, unspecified",3.346,2.533,4.418,0.0,0.0
"Dissection of aorta, abdominal",3.345,1.736,6.447,0.0,0.0
Other specified anxiety disorders,3.333,2.137,5.197,0.0,0.0
"Pain due to vascular prosthetic devices, implants and grafts, initial encounter",3.302,2.558,4.263,0.0,0.0
Other pemphigoid,3.297,1.735,6.268,0.0,0.0
Hypotension of hemodialysis,3.291,2.003,5.409,0.0,0.0
Other spontaneous pneumothorax,3.29,1.728,6.265,0.0,0.0
"Alcoholic liver disease, unspecified",3.287,1.994,5.417,0.0,0.0
"Hypotension, unspecified",3.277,2.951,3.639,0.0,0.0
"Hemorrhage of gastrointestinal tract, unspecified",3.206,2.684,3.83,0.0,0.0
Acute embolism and thrombosis of inferior vena cava,3.204,1.69,6.076,0.0,0.0
"Coma scale, best motor response, extension, in the field [EMT or ambulance]",3.198,1.816,5.63,0.0,0.0
Severe sepsis,3.188,2.654,3.83,0.0,0.0
Secondary malignant neoplasm of pleura,3.166,2.344,4.277,0.0,0.0
Grand mal status,3.162,1.934,5.169,0.0,0.0
Pneumonitis due to inhalation of food and vomit,3.155,2.793,3.565,0.0,0.0
"Subdural hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",3.153,2.038,4.877,0.0,0.0
"Other forms of scoliosis, cervicothoracic region",3.143,1.887,5.234,0.0,0.0
"Pulmonary heart disease, unspecified",3.132,1.698,5.774,0.0,0.0
Septic shock,3.112,2.605,3.718,0.0,0.0
"Traumatic subdural hemorrhage without loss of consciousness, initial encounter",3.085,2.447,3.889,0.0,0.0
"Unspecified kyphosis, thoracolumbar region",3.061,1.958,4.785,0.0,0.0
Acute kidney failure with tubular necrosis,3.06,2.629,3.563,0.0,0.0
Multiple myeloma not having achieved remission,3.055,2.46,3.792,0.0,0.0
"Bipolar I disorder, most recent episode (or current) depressed, unspecified",3.046,1.943,4.775,0.0,0.0
"Other mechanical complication of internal fixation device of other bones, initial encounter",3.038,1.864,4.953,0.0,0.0
Unspecified transient mental disorder in conditions classified elsewhere,3.022,1.643,5.557,0.0,0.0
"Hypoglycemia, unspecified",3.014,2.194,4.142,0.0,0.0
"Candidiasis, unspecified",3.011,1.731,5.238,0.0,0.0
Progressive systemic sclerosis,3.003,1.894,4.76,0.0,0.0
"Malignant neoplasm of liver, secondary",2.998,2.602,3.453,0.0,0.0
Secondary thrombocytopenia,2.991,2.072,4.32,0.0,0.0
Ulcer of intestine,2.987,1.618,5.515,0.0,0.0
Spontaneous bacterial peritonitis,2.982,2.188,4.063,0.0,0.0
"Hemiplegia, unspecified, affecting dominant side",2.979,1.856,4.783,0.0,0.0
Disseminated candidiasis,2.962,1.611,5.443,0.0,0.0
Intraoperative hemorrhage and hematoma of the spleen complicating other procedure,2.957,2.412,3.624,0.0,0.0
"Fall from non-moving motorized mobility scooter, initial encounter",2.957,1.809,4.832,0.0,0.0
"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",2.946,1.933,4.489,0.0,0.0
"Chronic osteomyelitis with draining sinus, left ankle and foot",2.94,1.927,4.485,0.0,0.0
Embolism and thrombosis of arteries of the lower extremities,2.939,2.082,4.149,0.0,0.0
Cardiac tamponade,2.937,1.891,4.562,0.0,0.0
Secondary malignant neoplasm of unspecified part of nervous system,2.879,1.997,4.148,0.0,0.0
Thoracic aneurysm without mention of rupture,2.838,2.146,3.753,0.0,0.0
Cachexia,2.796,2.253,3.47,0.0,0.0
Chondrocostal junction syndrome [Tietze],2.794,1.61,4.849,0.0,0.0
Unspecified ptosis of bilateral eyelids,2.789,1.616,4.813,0.0,0.0
Secondary malignant neoplasm of retroperitoneum and peritoneum,2.768,2.245,3.411,0.0,0.0
Acidosis,2.75,2.513,3.008,0.0,0.0
Other disorders of kidney and ureter in diseases classified elsewhere,2.741,2.17,3.464,0.0,0.0
Hemoptysis,2.711,1.988,3.696,0.0,0.0
Emphysematous bleb,2.709,2.019,3.636,0.0,0.0
Secondary malignant neoplasm of skin,2.705,1.594,4.59,0.0,0.0
Acute and subacute infective endocarditis,2.7,1.907,3.823,0.0,0.0
"Hemiplegia, unspecified, affecting unspecified side",2.681,2.029,3.543,0.0,0.0
Bladder-neck obstruction,2.661,1.556,4.551,0.0,0.0
"Charcot's joint, left knee",2.623,1.567,4.391,0.0,0.0
"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",2.623,1.627,4.229,0.0,0.0
Other symptoms and signs involving the nervous system,2.557,1.606,4.07,0.0,0.0
Hemoperitoneum (nontraumatic),2.523,1.676,3.798,0.0,0.0
Accidental fall from chair,2.511,1.567,4.024,0.0,0.0
Atherosclerosis of aorta,2.501,1.809,3.456,0.0,0.0
Hemorrhage of anus and rectum,2.461,1.796,3.372,0.0,0.0
Other specified septicemias,2.45,1.718,3.493,0.0,0.0
"Neutropenia, unspecified",2.422,1.899,3.09,0.0,0.0
"Pressure ulcer, stage II",2.413,1.84,3.165,0.0,0.0
Unspecified septicemia,2.393,2.007,2.853,0.0,0.0
Anuria and oliguria,2.391,1.784,3.204,0.0,0.0
"Pressure ulcer, stage III",2.346,1.531,3.593,0.0,0.0
Alcoholic hepatitis with ascites,2.342,1.714,3.199,0.0,0.0
Postinflammatory pulmonary fibrosis,2.336,1.925,2.835,0.0,0.0
"Other disorders of plasma-protein metabolism, not elsewhere classified",2.334,1.711,3.184,0.0,0.0
"Unspecified fall, subsequent encounter",2.319,1.998,2.691,0.0,0.0
Bacteremia,2.309,1.664,3.202,0.0,0.0
Surgical or other procedure not carried out because of patient's decision,2.305,1.46,3.64,0.0,0.0
"Hyperparathyroidism, unspecified",2.304,1.734,3.061,0.0,0.0
Other pulmonary embolism and infarction,2.291,1.932,2.716,0.0,0.0
"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",2.283,1.572,3.314,0.0,0.0
"Coagulation defect, unspecified",2.273,1.916,2.695,0.0,0.0
Other ascites,2.223,1.898,2.604,0.0,0.0
"Diverticulosis of intestine, part unspecified, without perforation or abscess with bleeding",2.217,1.523,3.227,0.0,0.0
Stupor,2.217,1.809,2.717,0.0,0.0
Non-pressure chronic ulcer of right ankle with fat layer exposed,2.191,1.467,3.272,0.0,0.0
"Pressure ulcer of head, stage 1",2.163,1.424,3.287,0.0,0.0
"Malignant neoplasm of liver, primary, unspecified as to type",2.147,1.747,2.637,0.0,0.0
Hepatorenal syndrome,2.146,1.552,2.966,0.0,0.0
"Acute kidney failure, unspecified",2.138,2.009,2.276,0.0,0.0
"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",2.114,1.614,2.769,0.0,0.0
Cerebral infarction due to embolism of other cerebral artery,2.108,1.689,2.631,0.0,0.0
Nutritional marasmus,2.104,1.44,3.072,0.0,0.0
Dependence on supplemental oxygen,2.092,1.812,2.416,0.0,0.0
Fluid overload disorder,2.087,1.442,3.021,0.0,0.0
Malignant ascites,2.078,1.509,2.862,0.0,0.0
"Mesothelioma, unspecified",2.076,1.571,2.745,0.0,0.0
"Toxic liver disease with hepatic necrosis, with coma",2.034,1.582,2.615,0.0,0.0
Chronic viral hepatitis B without delta-agent,2.021,1.554,2.63,0.0,0.0
Paroxysmal ventricular tachycardia,2.014,1.716,2.362,0.0,0.0
Adrenal cortical steroids causing adverse effects in therapeutic use,2.009,1.492,2.707,0.0,0.0
Abnormal weight loss,2.007,1.635,2.463,0.0,0.0
"Combined rheumatic disorders of mitral, aortic and tricuspid valves",2.005,1.514,2.656,0.0,0.0
Other sequelae of nontraumatic intracerebral hemorrhage,2.002,1.634,2.453,0.0,0.0
Other rheumatic tricuspid valve diseases,1.992,1.64,2.42,0.0,0.0
Personal history of other malignant neoplasm of bronchus and lung,1.947,1.608,2.356,0.0,0.0
"Other pneumonia, unspecified organism",1.918,1.769,2.081,0.0,0.0
Bacteremia,1.918,1.576,2.334,0.0,0.0
Chronic respiratory failure with hypercapnia,1.891,1.336,2.676,0.0,0.0
"Partial intestinal obstruction, unspecified as to cause",1.87,1.484,2.356,0.0,0.0
"Unspecified atherosclerosis of native arteries of extremities, right leg",1.865,1.475,2.359,0.0,0.0
Secondary malignant neoplasm of lung,1.856,1.59,2.168,0.0,0.0
Cyst of pancreas,1.851,1.365,2.51,0.0,0.0
Other opiates and related narcotics causing adverse effects in therapeutic use,1.851,1.345,2.546,0.0,0.0
Secondary malignant neoplasm of bone,1.846,1.597,2.133,0.0,0.0
Pancytopenia,1.823,1.439,2.311,0.0,0.0
Acute and subacute hepatic failure without coma,1.822,1.416,2.344,0.0,0.0
Multiple sclerosis,1.817,1.347,2.45,0.0,0.0
"Chronic airway obstruction, not elsewhere classified",1.814,1.658,1.984,0.0,0.0
Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,1.771,1.357,2.311,0.0,0.0
"Other and unspecified alcohol dependence, continuous",1.768,1.324,2.361,0.0,0.0
"Left bundle-branch block, unspecified",1.766,1.441,2.164,0.0,0.0
Biliary cyst,1.763,1.344,2.314,0.0,0.0
"Traumatic cerebral edema with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",1.747,1.473,2.073,0.0,0.0
Neoplasm related pain (acute) (chronic),1.73,1.444,2.072,0.0,0.0
Alcohol-induced chronic pancreatitis,1.69,1.335,2.139,0.0,0.0
Low back pain,1.688,1.425,2.0,0.0,0.0
Non-ST elevation (NSTEMI) myocardial infarction,1.679,1.48,1.905,0.0,0.0
Mixed acid-base balance disorder,1.668,1.297,2.144,0.0,0.0
"Atrioventricular block, complete",1.663,1.312,2.107,0.0,0.0
Atrial septal defect,1.635,1.267,2.108,0.0,0.0
Obstruction of bile duct,1.613,1.312,1.982,0.0,0.0
"Malignant neoplasm of unspecified kidney, except renal pelvis",1.609,1.246,2.077,0.0,0.0
Type 2 diabetes mellitus with other circulatory complications,1.601,1.249,2.053,0.0,0.0
"Encephalopathy, unspecified",1.598,1.363,1.873,0.0,0.0
Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,1.588,1.437,1.756,0.0,0.0
Other specified mental disorders due to known physiological condition,1.586,1.354,1.858,0.0,0.0
Chronic viral hepatitis C,1.583,1.341,1.869,0.0,0.0
Hypoxemia,1.561,1.395,1.748,0.0,0.0
Pleural effusion in other conditions classified elsewhere,1.542,1.354,1.757,0.0,0.0
Other myelodysplastic syndromes,1.538,1.22,1.94,0.0,0.0
Postprocedural hypotension,1.512,1.305,1.752,0.0,0.0
Malignant neoplasm of unspecified part of right bronchus or lung,1.504,1.207,1.874,0.0,0.0
Other disorders of neurohypophysis,1.478,1.21,1.806,0.0,0.0
"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis",1.474,1.194,1.82,0.0,0.0
"Fall from other rolling-type pedestrian conveyance, initial encounter",1.472,1.238,1.75,0.0,0.0
Hyperkalemia,1.466,1.323,1.624,0.0,0.0
Occlusion and stenosis of right carotid artery,1.453,1.197,1.763,0.0,0.0
Cirrhosis of liver without mention of alcohol,1.404,1.202,1.641,0.0,0.0
Secondary malignant neoplasm of brain,1.379,1.16,1.639,0.0,0.0
"Enterocolitis due to Clostridium difficile, recurrent",1.355,1.177,1.559,0.0,0.0
Old myocardial infarction,1.351,1.234,1.48,0.0,0.0
Personal history of venous thrombosis and embolism,1.317,1.189,1.458,0.0,0.0
Mitral valve disorders,1.287,1.136,1.457,0.0,0.0
"Chronic atrial fibrillation, unspecified",1.281,1.204,1.363,0.0,0.0
"Peripheral vascular disease, unspecified",1.275,1.134,1.432,0.0,0.0
"Elevated white blood cell count, unspecified",1.261,1.12,1.421,0.0,0.0
Hypo-osmolality and hyponatremia,1.258,1.159,1.366,0.0,0.0
Type 2 diabetes mellitus without complications,1.217,1.144,1.294,0.0,0.0
"Thrombocytopenia, unspecified",1.189,1.079,1.31,0.0,0.0
Unspecified essential hypertension,0.884,0.833,0.939,0.0,0.0
Dehydration,0.781,0.701,0.871,0.0,0.0
Personal history of other malignant neoplasm of skin,0.756,0.649,0.882,0.0,0.0
Obstructive sleep apnea (adult) (pediatric),0.752,0.68,0.832,0.0,0.0
Elevated Lipoprotein(a),0.74,0.702,0.781,0.0,0.0
Garden or yard of mobile home as the place of occurrence of the external cause,0.725,0.632,0.831,0.0,0.0
Chronic systolic heart failure,0.724,0.617,0.849,0.0,0.0
